CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARTICULO3666,9606,,,,,,,,1,1,2
,20100,,,3,4,2,1,,2,,
ARTICULO3668,20100,,,1,,,,,,,
ARTICULO3669,9606,,,,,,,,,1,
,20100,,,,2,,1,1,1,,
ARTICULO3671,7477,,,,,6,,,,,
ARTICULO3672,39,,,2,2,,2,,,,
,9426,,,,,,,,5,,2
ARTICULO3674,1531,,,,,1,,,2,,
ARTICULO3675,1531,3,,,,1,1,1,,,
ARTICULO3676,1531,1,,1,,1,,1,,,1
ARTICULO3677,9606,,,,,,,,2,2,2
,20100,,,,,4,2,1,,,
ARTICULO3679,4453,,,1,1,,,,,,
ARTICULO3680,9606,,,,,,,,1,1,1
,20100,,,,,2,1,1,,,
ARTICULO3682,4453,,,,1,,,,,,
ARTICULO3683,1531,,,,1,2,2,1,,,
ARTICULO3684,4453,,,,1,,,,,,
ARTICULO3685,20100,,,,,3,,,,,
ARTICULO3686,4453,,,,,1,,,,,
,9606,,,,,,,,1,3,1
,20100,,,,,,3,,1,,
ARTICULO3689,4453,,,,1,,,,,,
ARTICULO3690,3290,,,,2,2,,,1,,
ARTICULO3691,452,,,,1,1,,,,,
ARTICULO3692,452,,,,1,1,,,,,
ARTICULO3693,8793,,,,,1,,,,,
ARTICULO3694,1348,1,,,,1,,,,,
ARTICULO3695,20100,,,,,2,,,,,
ARTICULO3696,4077,,,2,4,,,,,,
ARTICULO3697,4077,,,,4,4,5,6,3,8,
ARTICULO3698,2551,,,1,,,,,,,
ARTICULO3699,1901,,,,,1,,,,,
ARTICULO3700,1348,,,2,,,,,,,
ARTICULO3701,2985,,,,2,,,,,,
ARTICULO3702,3194,,,,,1,,,,,
ARTICULO3703,3194,,,,,1,,,,,
ARTICULO3704,2551,,,,,1,,,,,
ARTICULO3705,4077,,,,,1,,,,,
ARTICULO3706,4077,,,,,2,,,,,
ARTICULO3707,111,1,,1,,,,,,,
ARTICULO3708,2551,,,,1,,,,,,
ARTICULO3709,4741,,,4,,,,,,,
ARTICULO3710,20100,1,2,,,,,,,,
ARTICULO3711,20100,2,2,1,,,,,,,
ARTICULO3712,4741,,,,4,,,,,,
ARTICULO3713,4741,,,,4,,,,,,
ARTICULO3714,645,,,1,,,,,,,
,1531,,1,,,,,,,,
ARTICULO3716,4077,,,,,3,,3,,,1
ARTICULO3717,4741,,,4,,,,,,,
ARTICULO3718,4741,,,,,1,,,,,
ARTICULO3719,7609,,1,,,,,,,,
ARTICULO3720,1487,,,1,,,,,,,
ARTICULO3721,12957,,,1,,,,,,,
ARTICULO3722,4077,,,,1,1,,,,2,
ARTICULO3723,2985,1,,,,,,,,,
ARTICULO3724,1829,,,3,,,,,,,
ARTICULO3725,2985,,,,2,,,,,,
ARTICULO3726,3299,,,,,,,,,3,
ARTICULO3727,2985,,,,1,,,,,,
ARTICULO3728,111,,3,,,,,,,,
ARTICULO3729,111,,,2,,,,,,,
ARTICULO3730,20100,,,1,,,,,,,
ARTICULO3731,4741,,,,,1,,,,,
ARTICULO3732,4741,2,,,,,,,,,
ARTICULO3733,1531,,,,1,,,,,,
ARTICULO3734,2551,,,1,,,,,,,
ARTICULO3735,7609,,,,1,,,,,,
ARTICULO3736,7609,,,1,,,,,,,
ARTICULO3737,1487,,,,1,,,,,,
ARTICULO3738,20100,1,,1,1,,,,1,,
ARTICULO3739,645,,,1,,,,,,,
,1531,,1,,,,,,,,
ARTICULO3741,1531,1,,,,,,,,,
ARTICULO3742,3299,,,,,3,,2,,,
ARTICULO3743,4216,1,,,,,,,,,
ARTICULO3744,4216,,,,,1,,,,,
ARTICULO3745,20100,,,,,1,,,,,
ARTICULO3746,1092,2,2,1,,,,2,,,
ARTICULO3747,1092,1,,,,,,,,,
ARTICULO3748,1531,,,,,3,,,,,
ARTICULO3749,4216,,,,,1,1,,,,
ARTICULO3750,7566,1,,,,,,,,,
ARTICULO3751,7566,,1,,,,,,,,
ARTICULO3752,4216,,,,,1,,,,,
ARTICULO3753,2985,,,,1,,,,,,
ARTICULO3754,4216,1,,,,,,,,,
ARTICULO3755,4216,1,,,,,,,,,
ARTICULO3756,4216,,,,,1,,,,,
ARTICULO3757,4216,,,,1,,,,,,
ARTICULO3758,4216,1,,,,,,,,,
ARTICULO3759,9606,,,,,,,,,1,
,20100,2,,,,1,,,,,
ARTICULO3761,20784,,,1,,,,,,,
ARTICULO3762,1409,1,,,,,,,,,
ARTICULO3763,1798,1,,,,,,,,,
ARTICULO3764,3360,,,,,1,,,,,
ARTICULO3765,4216,,,,1,,,,,,
ARTICULO3766,4216,,1,,,,,,,,
ARTICULO3767,1531,,,,,1,,,,,
ARTICULO3768,1531,,2,,,,,,,,
ARTICULO3769,4216,,,,,1,,,,,
ARTICULO3770,4216,,1,,,,,,,,
ARTICULO3771,1531,,,1,,,,,,,
ARTICULO3772,1531,,,,,2,,,,,
ARTICULO3773,4216,1,,,,,,,,,
ARTICULO3774,5770,,,,1,2,,,,,
ARTICULO3775,8552,,,,,5,,,,,
ARTICULO3776,8552,,,,,4,,,,,
ARTICULO3777,4216,,,1,,,,,,,
ARTICULO3778,4216,,,1,,,,,,,
ARTICULO3779,3353,,,,,1,,,,,
ARTICULO3780,2551,1,,,,,,,,,
ARTICULO3781,2985,,,1,,,,,,,
ARTICULO3782,20100,1,,,,,,,,,
ARTICULO3783,1531,,,,,1,,,,,
ARTICULO3784,6499,2,,,2,,2,3,,,
ARTICULO3785,1531,,1,,,,,,,,
ARTICULO3786,9606,,,,,,,,,1,1
,20100,4,7,4,2,2,,2,,,
ARTICULO3788,4202,,1,,,,,,,,
ARTICULO3789,645,,,,,1,,,,,
ARTICULO3790,1531,,,,2,,,,,,
ARTICULO3791,3360,,,,1,,,,,,
ARTICULO3792,20100,1,,,,1,1,,,,
ARTICULO3793,3360,1,,,,,,,,,
ARTICULO3794,3360,,1,,,,,,,,
ARTICULO3795,1531,,,,,1,,,,,
ARTICULO3796,1531,,,1,,,,,,,
ARTICULO3797,3360,,,,1,,,,,,
ARTICULO3798,3360,,,,,1,,,,,
ARTICULO3799,1531,,,,,1,,,,,
ARTICULO3800,1531,,1,,,,,,,,
ARTICULO3801,1531,,,2,,,,,,,
ARTICULO3802,1531,,2,,,,,,,,
ARTICULO3803,3360,1,,,,,,,,,
ARTICULO3804,7988,,1,,,,,,,,
ARTICULO3805,6924,,,,,1,,,,,
ARTICULO3806,6924,,,,,1,,,,,
ARTICULO3807,1531,,1,,,,,,,,
ARTICULO3808,1531,,1,,,,,,,,
ARTICULO3809,1531,,,2,1,,,,,,
ARTICULO3810,3299,,,,,25,8,6,10,,12
ARTICULO3811,3299,,6,6,11,6,4,,,,
ARTICULO3812,3299,,2,,5,,,,,,
ARTICULO3813,7715,,,,,,,,,3,
ARTICULO3814,6925,,1,,,,,,,,
ARTICULO3815,7609,,2,,,,,,,,
ARTICULO3816,3550,,,,,1,,,,,
ARTICULO3817,7715,2,,,,,,,,,
ARTICULO3818,3557,,,,1,,,,,,
ARTICULO3819,1487,,,,,,,1,,,
ARTICULO3820,2115,13,,,,,,,,,
ARTICULO3821,7609,,1,,,,,,,,
ARTICULO3822,1487,,,,,,,,,,4
ARTICULO3823,1487,,,,,,,3,,,
ARTICULO3824,2115,13,,,,,,,,,
ARTICULO3825,2115,1,,,,,,,,,
ARTICULO3826,1276,,1,,,,,,,,
ARTICULO3827,1531,1,1,,,,,,,,
ARTICULO3828,1531,,,,1,,,,,,
ARTICULO3829,3194,,,,,,,,1,,
ARTICULO3830,6901,,,,,1,,,,,
ARTICULO3831,6802,,,,,1,,,,,
ARTICULO3832,339,,,,,,1,,,,
,1487,,,,,,2,,,,
,7609,,2,,,,,,,,
ARTICULO3835,932,2,,,,,,,,,
ARTICULO3836,6802,,,5,,,,,,,
ARTICULO3837,3616,1,,1,,,,,,,
ARTICULO3838,3616,,,,2,,,,,,
ARTICULO3839,1531,,1,,,,,,,,
ARTICULO3840,1901,,,,,,,1,,,
ARTICULO3841,6802,9,19,,10,,4,9,4,8,
ARTICULO3842,3616,,1,,,,,,,,
ARTICULO3843,3616,,2,,,,,,,,
ARTICULO3844,3616,1,,,,,,,,,
ARTICULO3845,8656,,,,1,,,1,,,
ARTICULO3846,2468,,1,,,,,,,,
ARTICULO3847,6712,,,,1,,,,,,
ARTICULO3848,898,,,,3,,,,,,
ARTICULO3849,4077,,1,,,,1,2,2,,2
ARTICULO3850,1276,,,,,1,,,,,
ARTICULO3851,8107,,,,1,,,,,,
ARTICULO3852,2468,1,,,,,,,,,
ARTICULO3853,898,2,3,3,2,1,,2,,1,1
ARTICULO3854,898,,,,2,,,,,,
ARTICULO3855,1373,,,1,,,,,,,
ARTICULO3856,898,,2,1,,,1,1,,1,
ARTICULO3857,1373,1,1,,,,,,,,
ARTICULO3858,1373,,,1,,,,,,,
ARTICULO3859,1373,,,2,1,,1,,,,
ARTICULO3860,898,,2,,,,,1,,,1
ARTICULO3861,1531,1,,,,,,,,,
ARTICULO3862,898,,2,,,2,,,,,
ARTICULO3863,898,,,1,,,,,,,
ARTICULO3864,898,,,,1,,1,,,,
ARTICULO3865,1373,,,2,,,,,1,,
ARTICULO3866,1531,,,,1,,,,,,
ARTICULO3867,898,,,1,,,,,,,
ARTICULO3868,898,,1,2,1,,1,,1,,
ARTICULO3869,3616,,,1,2,,,,,,
,8968,,,,,,,,,1,
ARTICULO3871,7939,,1,,,,,,,,
ARTICULO3872,7732,2,,,,,1,1,,,
ARTICULO3873,2468,,,,,,2,,,,
ARTICULO3874,3194,6,,,,6,,,,,
ARTICULO3875,8910,,,,,1,,,,,
ARTICULO3876,7715,1,,,,,1,,,,
ARTICULO3877,6901,1,,,,,,,,,
ARTICULO3878,7715,,,1,,,,,,,
ARTICULO3879,2468,,,,,1,,,,,
ARTICULO3880,3557,,,,,1,,,,,
ARTICULO3881,2182,,,,,,,,,1,
ARTICULO3882,2461,1,,,,,,,,,
ARTICULO3883,2461,,,2,,1,,1,,,
ARTICULO3884,5509,1,,1,,,,,,,
ARTICULO3885,1901,,4,4,,,2,2,2,,
ARTICULO3886,1901,,,,,2,,,,,1
ARTICULO3887,3299,,3,,,,,,,,
ARTICULO3888,1901,,,,2,,2,,,,
ARTICULO3889,1531,1,,,,,,,,,
ARTICULO3890,932,1,,,,,,,,,
ARTICULO3891,958,,1,,,,,,,,
ARTICULO3892,2468,,1,1,,,,,,,
ARTICULO3893,7609,,2,,,,,,,,
ARTICULO3894,2574,,2,,,,,,,,
ARTICULO3895,20100,,,1,1,1,,1,,,
ARTICULO3896,7609,,,,1,,,,,,
ARTICULO3897,469,,,,,1,,,,,
ARTICULO3898,1574,,1,,,,,,,,
ARTICULO3899,7609,,,2,,,,,,,
ARTICULO3900,664,,1,,,,,,,,
ARTICULO3901,7609,,,1,,,,,,,
ARTICULO3902,339,,,,,1,3,,,,
ARTICULO3903,339,,,,,2,,,,,
ARTICULO3904,4741,1,,,,,,,,,
ARTICULO3905,986,,1,,,,,,,,
ARTICULO3906,1798,,,1,,,,,,,
ARTICULO3907,4216,,1,,,,,,,,
ARTICULO3908,4077,,,1,,,,,,,
ARTICULO3909,4216,,1,,,,,,,,
ARTICULO3910,4216,,1,,,,,,,,
ARTICULO3911,4216,,,,2,,,,,,
ARTICULO3912,4216,,,,2,,,,,,
ARTICULO3913,4216,1,,,,,,,,,
ARTICULO3914,4216,,1,,,1,,,,,
ARTICULO3915,4216,,1,,,,,,,,
ARTICULO3916,4216,,,,,1,,,,,
ARTICULO3917,4216,,,1,,,,,,,
ARTICULO3918,4216,,,1,,,,,,,
ARTICULO3919,4216,,1,,,,,,,,
ARTICULO3920,4216,,1,,,,,,,,
ARTICULO3921,3616,,,,,2,,,,,
ARTICULO3922,6712,,1,,,,,,,,
ARTICULO3923,6712,,2,,,,,,,,
ARTICULO3924,6712,,,2,,,,,,,
ARTICULO3925,6712,,,4,,,,,,,
ARTICULO3926,6712,,,1,,,,,,,
ARTICULO3927,6712,,,,,1,,,,,
ARTICULO3928,6712,,,,,2,,,,,
ARTICULO3929,6712,,,,,2,,,,,
ARTICULO3930,6712,,,,,2,,,,,
ARTICULO3931,7609,,,1,,,,,,,
ARTICULO3932,3616,,,,,1,,,,,
ARTICULO3933,2115,1,,,,,,,,,
ARTICULO3934,2729,1,,,1,,,,,,
ARTICULO3935,986,,1,,,,,,,,
ARTICULO3936,1162,2,,2,,,,,,,
ARTICULO3937,2468,3,3,,,,,,,,
ARTICULO3938,1413,,,,2,,,,,,
ARTICULO3939,898,1,1,,,,,,,,
ARTICULO3940,1487,,,,,,,4,,,
ARTICULO3941,339,,,,,,2,,,,
ARTICULO3942,339,,,,,,3,,,,1
ARTICULO3943,3353,,1,,,,,,,,
ARTICULO3944,7609,,,,,,,,,1,
ARTICULO3945,7609,,2,3,,,,,,1,
ARTICULO3946,972,1,,,,,,,,,
ARTICULO3947,7609,,2,,,,,,,,
ARTICULO3948,7609,,,,,,,,2,,
ARTICULO3949,7609,,10,,,,,,,,
ARTICULO3950,7609,,,,,,,,2,,
ARTICULO3951,7609,,,2,,,,,,,1
ARTICULO3952,7609,2,,,,,,,,,
ARTICULO3953,7609,1,1,,,,,,,,
ARTICULO3954,7609,,2,,,,,,,,
ARTICULO3955,3299,,2,,,,,,,,
ARTICULO3956,1798,,,3,,,,,,,
ARTICULO3957,972,,,,1,,,,,,
ARTICULO3958,2468,1,2,,,,,,,,
ARTICULO3959,898,3,,,,,,1,,,
ARTICULO3960,7609,,2,,,,,,,,
ARTICULO3961,339,1,,,,,,,,,
ARTICULO3962,7609,,,2,,,,,,,
ARTICULO3963,7609,,,2,,,,,,,
ARTICULO3964,2985,,,,,1,,,,,
ARTICULO3965,898,,,1,1,1,,,,,
ARTICULO3966,7612,4,2,2,,,,,,,
ARTICULO3967,7612,2,,,,,,,,,
ARTICULO3968,7612,,,3,,3,,,2,,
ARTICULO3969,645,,,,6,,,,,,
ARTICULO3970,7176,1,1,,,,,,,,
ARTICULO3971,7573,1,,,,,,,,,
ARTICULO3972,3164,2,,,,,,,,,
ARTICULO3973,898,4,1,,,,,,,,
ARTICULO3974,2985,,4,,,,,,,,
ARTICULO3975,2985,,,,,1,,,,,
ARTICULO3976,2985,,,4,,1,3,,,,
ARTICULO3977,7609,,,,,1,,,,,
ARTICULO3978,2574,4,,,,,,,,,
ARTICULO3979,898,,1,,,1,,,,,
ARTICULO3980,2574,,,2,,,,,,,
ARTICULO3981,645,,,,4,,,,,,
ARTICULO3982,898,2,,,,2,,,,,
ARTICULO3983,898,6,3,,3,,,,,,
ARTICULO3984,645,,,4,2,,,,,,
ARTICULO3985,12957,1,,,,,,,,,
ARTICULO3986,645,,,,5,,,,,,
ARTICULO3987,7609,,,1,,,,,,,
ARTICULO3988,7609,,2,,,,,,,,
ARTICULO3989,1531,1,,,,,,,,,
ARTICULO3990,7176,,1,,,,,,,,
ARTICULO3991,664,1,,,,,,,,,
ARTICULO3992,898,1,,,,,,,,,
ARTICULO3993,1531,1,,,,,,,,,
ARTICULO3994,898,,,,1,,,,,,
ARTICULO3995,7609,,,,4,,,,,,
ARTICULO3996,6802,,1,,,,,,,,
ARTICULO3997,7609,,2,,,,,,,,
ARTICULO3998,7609,,,,1,,,,,,
ARTICULO3999,898,,,1,1,,1,,,,
ARTICULO4000,339,1,,,,,,,,,
ARTICULO4001,645,,,,8,,,,,,
ARTICULO4002,645,,,,2,,,,,,
ARTICULO4003,339,,,,,,1,,,,
,7609,,,1,1,,,,,,
ARTICULO4005,898,1,,,,,,,,,
ARTICULO4006,12957,8,,,,,,,,,
ARTICULO4007,314,,,,14,,,,,,
ARTICULO4008,1487,,,,,2,,,,,
ARTICULO4009,645,,1,,,,,,,,
ARTICULO4010,645,,,,1,,,,1,,
ARTICULO4011,898,1,1,1,,,,,,,
ARTICULO4012,2985,,,,,7,,,,,
ARTICULO4013,2985,,,,1,,6,,,1,
ARTICULO4014,898,,1,4,,,,,,,
ARTICULO4015,898,1,2,,,,,,,,
ARTICULO4016,6546,2,,,,,,,,,
ARTICULO4017,794,33,33,4,,,,,,,
ARTICULO4018,1328,,,,,,,1,,,
,6802,2,,,,,,,,,
ARTICULO4020,314,6,12,6,2,2,,6,,2,
ARTICULO4021,314,0,,,,,,,,,
ARTICULO4022,6802,,2,2,,,,,,,
ARTICULO4023,6802,81,81,14,32,61,46,99,42,102,78
,8769,,,,,,,,,32,36
ARTICULO4025,6802,44,16,55,15,40,35,37,51,20,25
ARTICULO4026,504,22,10,,,,,,,,
ARTICULO4027,504,17,,,20,,,10,,5,
ARTICULO4028,504,25,,5,25,,,,,,
ARTICULO4029,1843,,,,1,,,,,,
ARTICULO4030,504,244,40,,50,,15,15,60,,
,3748,40,35,30,42,37,28,62,93,58,
ARTICULO4032,504,238,,120,70,50,70,100,30,70,
,3748,11,42,10,40,20,20,40,90,90,120
ARTICULO4034,1843,,2,3,,,,"6,9",6,,4
,7609,4,,,,,,,,,
,8336,,,"1,6",,,,,,,
ARTICULO4037,176,,,"2,6",,,,,,,
,835,,,,15,,,,,,
,1843,,,,,,,4,,4,4
,4009,50,,,,,,,,,
ARTICULO4041,605,,,,,"5,3",,,,,
,835,,49,,,,,,,,
,1843,20,,,,,20,20,"2,5",3,
,2448,2,,,,,,,,,
,3748,40,,,,,,,,,
,4009,,,10,,,,,,,
,6761,,,,"4,5",,,,,,
,8663,,,,,,,,"3,3",,
ARTICULO4049,1843,,,2,7,,,,,,
ARTICULO4050,6802,,,,1,,,,,,
ARTICULO4051,6802,,,1,,1,,,,,
ARTICULO4052,1843,,,,,,,1,,,
,3748,,,,15,,1,,7,4,25
ARTICULO4054,3748,,,,,,3,3,13,,
ARTICULO4055,6802,,,1,,1,1,,,,
ARTICULO4056,504,,7,,,,,,,,
,3748,,10,,4,,,1,6,4,23
ARTICULO4058,1843,,,,"1,8",,,,,,
ARTICULO4059,504,,25,,,,,,,,
,3748,30,10,10,19,16,13,40,,15,22
ARTICULO4061,3748,10,10,10,,7,9,12,6,36,
ARTICULO4062,2134,,,,,,,,4,,
,6802,"7,7","1,1",,1,,,,,,
ARTICULO4064,697,,,"5,3",,,,,,,
ARTICULO4065,794,"3,3",,,,,,,,,"3,3"
ARTICULO4066,1331,,,,,2,,,,,
ARTICULO4067,8089,,8,,,,,,,,
ARTICULO4068,5027,,,1,,,,,,,
ARTICULO4069,6802,20,,,,,,,,,
ARTICULO4070,6802,20,30,20,,,,,,,
ARTICULO4071,4267,,9,,,,,,,,
ARTICULO4072,238,,6,6,6,,,,,,
ARTICULO4073,238,,,,3,3,,,,,
ARTICULO4074,3612,,,,1,,,,,,
,9836,,,,,,,,,1,
ARTICULO4076,7845,,,,,1,,,,,
ARTICULO4077,425,,,,,1,,,,,
,6535,9,,,,,,,,,
ARTICULO4079,427,2,,,,,,,,,
ARTICULO4080,419,,,,,1,,,,,
,501,,,,,,,1,,,
,6802,,,1,1,,2,,3,,
,7883,,10,,,,,,,,
,20200,,,3,,,,,,,
ARTICULO4085,1312,,,,,,,,,,3
ARTICULO4086,6754,8,3,,,,,,,,
ARTICULO4087,925,,,1,,,,,2,,
,2574,,6,,6,,,,,,
,3533,,,1,,,,,,,
,5316,,,,,,1,,,,
,6802,,2,1,5,,,,,,
ARTICULO4092,6754,,,,,,1,,,,
,6802,,8,18,,4,4,,,,
ARTICULO4094,6802,,,,,,,,4,,
,8002,,,,,1,,,,,
ARTICULO4096,6802,3,3,5,2,,6,2,5,1,2
ARTICULO4097,238,,6,4,4,2,,,,,
ARTICULO4098,9606,,,,,,,,2,,
,20100,,,,,,1,,,,
ARTICULO4100,5509,,2,,,,,2,,,
ARTICULO4101,5352,1,,,,,,,,,
ARTICULO4102,2574,,5,,,,,,,,
ARTICULO4103,8020,,3,5,,6,,,,,
ARTICULO4104,427,,,,1,,,,,,
ARTICULO4105,1079,2,,,,,,,,,
ARTICULO4106,1079,2,,,,,,,,,
ARTICULO4107,1079,2,,1,,,,,,,
ARTICULO4108,2574,,,,,,,,1,,
,2699,,,,1,,,,,,
ARTICULO4110,2574,1,,,,,,,,,
ARTICULO4111,2574,,,,1,,,,,,
,6728,,1,,,,,,,,
,7609,,,,,,,,1,,
ARTICULO4114,4986,,,,,,,,,2,
ARTICULO4115,1413,,8,,,,,,,,
ARTICULO4116,8984,,,,,,40,70,20,65,80
ARTICULO4117,2574,,,,,,,,1,,
ARTICULO4118,427,,1,,,,,,,,
ARTICULO4119,427,,1,,,,,,,,
ARTICULO4120,163,,,,4,,,,,,
ARTICULO4121,163,2,,,,,,,,,
ARTICULO4122,163,2,4,,,,,,,,
ARTICULO4123,6802,61,74,42,,26,14,25,33,29,16
ARTICULO4124,6787,1,,,,1,,,,,
ARTICULO4125,1798,,,1,,,,,,,
,6802,1,4,1,1,,,,,5,1
ARTICULO4127,1478,,2,,,,,,,,
ARTICULO4128,501,,,,,,,1,1,,
ARTICULO4129,2575,,,1,,,,,,,
ARTICULO4130,7332,1,,,,,,,,,
ARTICULO4131,8311,,,,1,,,,,,
ARTICULO4132,8494,,,,1,,,,,,
ARTICULO4133,2551,9,,5,5,15,,,,7,10
ARTICULO4134,8297,,,4,,,,,,,
ARTICULO4135,3783,,,,2,,,,,,
,7337,,2,,,,,,,,
ARTICULO4137,7811,,1,,,,,,,,
ARTICULO4138,452,2,,,,,,,,,
ARTICULO4139,452,,1,,,,,,,,
ARTICULO4140,5759,,,1,,,,,,,
ARTICULO4141,5658,2,,,,,,,,,
ARTICULO4142,8153,,,1,,,,,,,
ARTICULO4143,5052,,,2,,,,,,,
ARTICULO4144,2056,1,,,,,,,,,
ARTICULO4145,2781,1,,,,,,,,,
ARTICULO4146,5759,,,,,,,,1,,
ARTICULO4147,8062,,,9,,,,,,,
,8273,,,2,,,,,,,
,8311,,,2,,,,,,,
ARTICULO4150,3976,5,,,,,,,,1,
ARTICULO4151,5759,,1,,,,,,,,
ARTICULO4152,7748,4,,,,,,,,,
ARTICULO4153,2089,,,,1,,,,,,
ARTICULO4154,8133,,,1,,,,,,,
ARTICULO4155,5658,2,,,,,,,,,
ARTICULO4156,7089,,,,6,,,,,,
ARTICULO4157,7235,,4,2,,,,,,,
ARTICULO4158,4612,,1,,,,,,,,
ARTICULO4159,5894,1,,,,,,,,,
ARTICULO4160,2515,,,,,2,,,,,
,4016,,,,,,,,,,2
,6787,,,,,,,,,,6
,8769,,,,,2,,,,,
ARTICULO4164,2028,,,,,,,,1,,
ARTICULO4165,4429,,,,,,4,,,,
,7176,1,,,,,,,,,
ARTICULO4167,2574,1,,,,,,,,,
ARTICULO4168,238,,,2,2,,,,,,
,314,2,,,,,,,,,
,2574,,,,,,,2,2,2,2
,4628,,,,,,,,,,2
,6802,,,,,,,1,5,,
ARTICULO4173,8923,,,,,,2,,,,
ARTICULO4174,452,1,,,,,,,,,
ARTICULO4175,6585,,,,,,1,,,,
ARTICULO4176,6585,,,,2,,,,,,
ARTICULO4177,2133,,,,,2,,,,,
ARTICULO4178,6585,,,,,,,,1,,
ARTICULO4179,6585,,,,,,,,1,,
ARTICULO4180,2133,,,,,2,,,,,
ARTICULO4181,5579,,,2,,,,,,,
ARTICULO4182,2133,,,,,2,,,,,
ARTICULO4183,8527,,,,2,,,,,,
ARTICULO4184,3538,,,,,1,,,,,
ARTICULO4185,3913,,,,,,,,1,,
,7957,,1,,,,,,,,
ARTICULO4187,6548,,,,,1,,,,,
ARTICULO4188,7313,2,,,,,,,,,
ARTICULO4189,8154,,,1,,,,,,,
ARTICULO4190,7668,,,2,,,,,,,
ARTICULO4191,1478,,,,1,,,,,,
ARTICULO4192,2739,,,,2,,,,,,
ARTICULO4193,1478,,,3,,,3,,,,
ARTICULO4194,4056,13,11,3,9,11,19,16,7,1,16
ARTICULO4195,4056,1,,,,,,,,,
ARTICULO4196,4056,,,,,,,4,,,
ARTICULO4197,4056,,3,3,1,2,2,2,,2,12
ARTICULO4198,2822,,,,1,,,2,,,
ARTICULO4199,6827,,,2,,,,,,,
ARTICULO4200,6122,,,1,,,,,2,,1
ARTICULO4201,7696,,2,,,,,,2,,
ARTICULO4202,5759,,1,,,,,,,,
ARTICULO4203,4121,,2,,,,,,,,
ARTICULO4204,4121,,1,,,,,,,,
ARTICULO4205,4121,1,,,,,,,,,
ARTICULO4206,3694,,,,,,8,,,,
ARTICULO4207,2056,,,,,1,,,,,
ARTICULO4208,7888,,2,,,,,,,,
ARTICULO4209,7888,,2,,,,,,,,
ARTICULO4210,7888,,,,4,4,,3,,2,1
ARTICULO4211,2435,,,,,1,,,,,
ARTICULO4212,7888,,1,,,,,,,,
ARTICULO4213,7888,,,1,,,,,,,
ARTICULO4214,7888,,,,,1,,,,,
ARTICULO4215,4056,2,3,3,2,3,,3,1,1,8
ARTICULO4216,4056,,2,,,,,,,,
ARTICULO4217,2159,,2,1,,,,,,,
ARTICULO4218,2159,,,1,,,,2,,,
ARTICULO4219,4578,,,4,,,,,,,
ARTICULO4220,2159,9,2,7,,,,,,,
ARTICULO4221,4056,44,28,54,37,35,36,57,78,28,22
ARTICULO4222,2159,,1,,,,,,,,
ARTICULO4223,5759,1,,,,,,,,,
ARTICULO4224,5358,,1,,,,,,,,
ARTICULO4225,4823,,,,,1,,,,,
ARTICULO4226,2495,,5,,,,,5,,,
,7736,16,,,,,,,,,
ARTICULO4228,2495,,,10,,,,,,,
ARTICULO4229,3481,,,1,,,,,,,
,8755,,,,,1,,,,,
ARTICULO4231,5358,,1,,,,,,,,
ARTICULO4232,6122,15,4,5,7,9,13,5,4,2,1
ARTICULO4233,8252,,,,4,,,,,,
ARTICULO4234,1185,,1,,,,,,,,
ARTICULO4235,7453,4,,,,,,,,,
ARTICULO4236,2716,1,,,,2,,,,,
ARTICULO4237,4097,,1,,,,,,,,
ARTICULO4238,4663,,1,,,,,,,,
ARTICULO4239,2822,3,,,,,,,,,
ARTICULO4240,8235,,,1,,,,,,,
ARTICULO4241,7284,1,,,,,,,,,
ARTICULO4242,4681,,,2,,,,,,,2
ARTICULO4243,4914,,,2,,,,,,,
ARTICULO4244,4630,,1,,,,,,,,
ARTICULO4245,3257,,,,2,,,2,,,
ARTICULO4246,2739,,1,,,1,,1,,,1
ARTICULO4247,7284,1,,,,,,,,,
ARTICULO4248,7284,1,,,,,,,,,
ARTICULO4249,7284,1,,,,,,,,,
ARTICULO4250,7284,1,,,,,,,,,
ARTICULO4251,7284,1,,,,,,,,,
ARTICULO4252,2799,,,2,,,,,,,
ARTICULO4253,3481,,,1,,,,,,,
,8755,,,,,1,,,,,
ARTICULO4255,1185,,1,,,,,,,,
ARTICULO4256,6122,,,,,,,1,,,
ARTICULO4257,6122,1,,,,,,,,,
ARTICULO4258,3694,,,,,,9,,,,
ARTICULO4259,6827,20,2,15,5,10,2,5,9,3,
ARTICULO4260,1841,,,1,,,,,,,
ARTICULO4261,3481,,2,,,,,,,,
ARTICULO4262,1841,,,,4,,,,,,
ARTICULO4263,1841,,,,2,,,,,,
ARTICULO4264,2799,,,2,,,,,,,
ARTICULO4265,8662,,,,,1,,,,,
ARTICULO4266,3475,,,1,,,,,,,
ARTICULO4267,7347,,1,,,,,,,,
,7765,,,1,,,,,,,
,7973,,1,,,1,,2,,,
ARTICULO4270,6512,,1,,,,,,,,
ARTICULO4271,7807,,2,,,,,,,,
ARTICULO4272,6585,,,,2,,,,,,
ARTICULO4273,7717,1,,,,,,,,,
ARTICULO4274,7973,,1,,,1,,,,,
ARTICULO4275,7882,,,,,4,,,,,
ARTICULO4276,7994,,,,,4,,,,,
ARTICULO4277,2739,,,1,,,,,,,
ARTICULO4278,7484,2,,,,,,,,,
ARTICULO4279,8668,,,,,1,,,,,
