CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,1328,,1,,,,,,,,
,7993,,,1,,,,,,,
ARTICULO168,837,,,,,,,1,,,
,1091,,,,,,,,,1,
ARTICULO170,6715,12,,,,,,,,,
ARTICULO171,312,,2,,,,,,,,
ARTICULO172,312,2,,,,,,,,,
ARTICULO173,837,,,1,,,,,,,
ARTICULO174,837,,,4,,,,,,,2
ARTICULO175,837,,1,1,2,,,,,,
ARTICULO176,7993,,,1,,,,,,,
ARTICULO177,7159,,,120,,,60,,23,25,
,10531,,,2,,,,,,,
ARTICULO179,5388,,1,,,,,,,,
,7159,620,332,328,942,,123,384,397,1030,750
ARTICULO181,7993,,12,6,4,10,,1,,,
ARTICULO182,7993,,12,6,4,6,,3,,,
ARTICULO183,4432,,7,6,3,5,2,,,6,10
ARTICULO184,4432,8,6,9,6,2,4,8,,,
ARTICULO185,4432,,14,33,6,4,13,,,,
ARTICULO186,684,2,,6,,,,,,,
,2551,,3,,,,,,,,
,6511,2,2,2,,,,,,,
,6802,,,,,,,,,,10
ARTICULO190,684,2,,,,,,,,,
,1091,1,,,,,,,,,
,1328,,,,,,,,,1,
ARTICULO193,1328,,,,,,,,,1,
,5388,,,,1,,,,,,
ARTICULO195,871,,,,,2,,,,,
ARTICULO196,837,,,,,,,1,,,
,7847,1,,,,,,,,,
ARTICULO198,837,,,,,,,1,,,
,871,,,,,2,,,,,
ARTICULO200,5388,,,,,2,,,,,
ARTICULO201,1328,,,1,,,,,,,
ARTICULO202,684,2,,,,,,,,,
,5388,,,,,,,4,,,
ARTICULO204,1328,,,,1,,,,,,
ARTICULO205,5388,,,,,2,,,,,
ARTICULO206,289,,,,,,1,1,2,,
,5388,,,,,2,,,,,
ARTICULO208,5388,,,,,,,4,,,
ARTICULO209,5388,,8,,8,,,,,,
,6787,,,,,,,,,10,
ARTICULO211,5388,1,2,1,,6,,,,,
ARTICULO212,4432,6,,,,,4,,3,,3
ARTICULO213,222,,,,,,2,,,,
ARTICULO214,222,,,,,,,2,,,
ARTICULO215,1424,,2,,2,1,,,,2,1
ARTICULO216,837,,3,5,2,1,2,1,,,2
ARTICULO217,222,4,,,,,,,,,
ARTICULO218,7993,,,1,,,,,,,
ARTICULO219,1328,,,,,1,,,,,
,5636,,1,,,,,,,,
,6802,,,,8,4,8,8,,,
ARTICULO222,969,,,,,,2,4,,,
ARTICULO223,837,,,1,,,,,,,
ARTICULO224,7925,,,,,,,2,,,
ARTICULO225,289,,,,,,,2,1,,
ARTICULO226,969,,,,,,,1,,,
ARTICULO227,7993,,,,,,,,1,,
ARTICULO228,837,,3,4,1,,,,,,
ARTICULO229,969,,,,,,,1,,,
ARTICULO230,5388,,,,,2,,,,,
ARTICULO231,289,1,,,,,,,,,
ARTICULO232,7993,,,4,2,,,,,,
ARTICULO233,222,1,2,1,1,7,2,7,1,,6
ARTICULO234,289,1,,,,,,,,,
,7993,,,,,,1,,,,
ARTICULO236,837,2,,,,,,,,,
ARTICULO237,837,3,2,1,,2,2,3,2,1,
,4805,,,,,,,,1,,
ARTICULO239,10531,,1,,,,,,,,
ARTICULO240,6494,1,,,,,,,,,
,6940,1,,,,3,,,,,
ARTICULO242,4794,,1,,,,,,,,
ARTICULO243,2468,1,,1,,,,,1,,
ARTICULO244,645,,,,,1,,,,,
,3930,,1,,,,,,,,
